Case,Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Correct Answer
"Eine 42-jährige Patientin wird von ihrem Hausarzt wegen psychischer Beschwerden in die psychosomatische Ambulanz überwiesen. Auf dem Überweisungsträger wurde die Verdachtsdiagnose „depressive Reaktion unter Corona-Lockdown“ vermerkt. Die Patientin, Frau M., klagt über innere Unruhe, Anspannung, depressive Verstimmung, Ein- und Durchschlafstörungen sowie Kopfschmerzen. Auch sei ihre Pulsfrequenz häufig erhöht. Der Hausarzt habe bereits im Vorfeld eine sorgfältige somatische Abklärung veranlasst, inkl. neurologischer und kardiologischer Differenzialdiagnostik; es seien jedoch keine körperlichen Ursachen für die Beschwerden der Patientin gefunden worden. In der psychosomatischen Exploration berichtet Frau M., dass die Symptomatik vor ca. 3,5 Monaten begonnen habe. Ihr Ehemann habe schon länger „ein Problem mit Alkohol“ und verbringe aufgrund der Corona-Pandemie und „Home-Office“ nun viel Zeit zu Hause. An einem Abend vor ca. 3,5 Monaten sei er erneut alkoholisiert gewesen. Er sei im Verlaufe des Abends immer aggressiver geworden und habe sie schließlich zum Geschlechtsverkehr aufgefordert, was sie abgelehnt habe. Daraufhin habe ihr Mann ihr mehrfach ins Gesicht geschlagen und sie anschließend vergewaltigt. Nach dem Vorfall sei sie zu einer Freundin gegangen, wo sie seitdem wohne. Nun lebe sie in ständiger Angst, ihr Mann könne sie finden. Daher verlasse sie die Wohnung nicht. Gleichzeitig kämen ihr immer wieder Bilder des Vorfalls in den Kopf, ohne dass sie dies kontrollieren könne. Frau M. äußert zudem Angst vor dem Schlafengehen, weil sie häufig unter Alpträumen leide. Sie wünsche sich eine Behandlung, merke jedoch, wie schwer es ihr falle, über das vergangene Geschehen zu sprechen. Die Patientin wird am Ende der Vorstellung in der psychosomatischen Ambulanz über das Vorliegen der Diagnosen einer posttraumatischen Belastungsstörung (PTBS) und einer mittelgradigen depressiven Episode aufgeklärt. Es wird die Indikation zur Durchführung einer ambulanten, traumaspezifischen Psychotherapie gestellt. Frau M. wird schließlich an eine geeignete Traumatherapeutin vermittelt.",Bei der Patientin liegt ein traumatisches Ereignis vor.  Anhand welcher 3 Symptomkriterien kann bei Frau M. am ehesten die Diagnose einer PTBS gestellt werden?,"0) depressive Verstimmung, Vermeidung, Kopfschmerzen","1) Hyperarousal, Vermeidung, depressive Verstimmung","2) Kopfschmerzen, Intrusionen/Flashbacks, Schlafstörungen","3) Intrusionen/Flashbacks, Vermeidung, Hyperarousal","4) depressive Verstimmung, Vermeidung, Schlafstörungen",3
"Eine 42-jährige Patientin wird von ihrem Hausarzt wegen psychischer Beschwerden in die psychosomatische Ambulanz überwiesen. Auf dem Überweisungsträger wurde die Verdachtsdiagnose „depressive Reaktion unter Corona-Lockdown“ vermerkt. Die Patientin, Frau M., klagt über innere Unruhe, Anspannung, depressive Verstimmung, Ein- und Durchschlafstörungen sowie Kopfschmerzen. Auch sei ihre Pulsfrequenz häufig erhöht. Der Hausarzt habe bereits im Vorfeld eine sorgfältige somatische Abklärung veranlasst, inkl. neurologischer und kardiologischer Differenzialdiagnostik; es seien jedoch keine körperlichen Ursachen für die Beschwerden der Patientin gefunden worden. In der psychosomatischen Exploration berichtet Frau M., dass die Symptomatik vor ca. 3,5 Monaten begonnen habe. Ihr Ehemann habe schon länger „ein Problem mit Alkohol“ und verbringe aufgrund der Corona-Pandemie und „Home-Office“ nun viel Zeit zu Hause. An einem Abend vor ca. 3,5 Monaten sei er erneut alkoholisiert gewesen. Er sei im Verlaufe des Abends immer aggressiver geworden und habe sie schließlich zum Geschlechtsverkehr aufgefordert, was sie abgelehnt habe. Daraufhin habe ihr Mann ihr mehrfach ins Gesicht geschlagen und sie anschließend vergewaltigt. Nach dem Vorfall sei sie zu einer Freundin gegangen, wo sie seitdem wohne. Nun lebe sie in ständiger Angst, ihr Mann könne sie finden. Daher verlasse sie die Wohnung nicht. Gleichzeitig kämen ihr immer wieder Bilder des Vorfalls in den Kopf, ohne dass sie dies kontrollieren könne. Frau M. äußert zudem Angst vor dem Schlafengehen, weil sie häufig unter Alpträumen leide. Sie wünsche sich eine Behandlung, merke jedoch, wie schwer es ihr falle, über das vergangene Geschehen zu sprechen. Die Patientin wird am Ende der Vorstellung in der psychosomatischen Ambulanz über das Vorliegen der Diagnosen einer posttraumatischen Belastungsstörung (PTBS) und einer mittelgradigen depressiven Episode aufgeklärt. Es wird die Indikation zur Durchführung einer ambulanten, traumaspezifischen Psychotherapie gestellt. Frau M. wird schließlich an eine geeignete Traumatherapeutin vermittelt.","In der Anamnese berichtet die Patientin, dass sie aus Angst die Wohnung nicht mehr verlasse.  Mit welcher zusätzlichen Differenzialdiagnose ließe sich eine solche Patientenschilderung am wenigsten vereinen?",0) Agoraphobie,1) Panikstörung,2) dissoziative Fugue,3) generalisierte Angststörung,4) schwere depressive Episode ohne psychotische Symptome,2
"Eine 42-jährige Patientin wird von ihrem Hausarzt wegen psychischer Beschwerden in die psychosomatische Ambulanz überwiesen. Auf dem Überweisungsträger wurde die Verdachtsdiagnose „depressive Reaktion unter Corona-Lockdown“ vermerkt. Die Patientin, Frau M., klagt über innere Unruhe, Anspannung, depressive Verstimmung, Ein- und Durchschlafstörungen sowie Kopfschmerzen. Auch sei ihre Pulsfrequenz häufig erhöht. Der Hausarzt habe bereits im Vorfeld eine sorgfältige somatische Abklärung veranlasst, inkl. neurologischer und kardiologischer Differenzialdiagnostik; es seien jedoch keine körperlichen Ursachen für die Beschwerden der Patientin gefunden worden. In der psychosomatischen Exploration berichtet Frau M., dass die Symptomatik vor ca. 3,5 Monaten begonnen habe. Ihr Ehemann habe schon länger „ein Problem mit Alkohol“ und verbringe aufgrund der Corona-Pandemie und „Home-Office“ nun viel Zeit zu Hause. An einem Abend vor ca. 3,5 Monaten sei er erneut alkoholisiert gewesen. Er sei im Verlaufe des Abends immer aggressiver geworden und habe sie schließlich zum Geschlechtsverkehr aufgefordert, was sie abgelehnt habe. Daraufhin habe ihr Mann ihr mehrfach ins Gesicht geschlagen und sie anschließend vergewaltigt. Nach dem Vorfall sei sie zu einer Freundin gegangen, wo sie seitdem wohne. Nun lebe sie in ständiger Angst, ihr Mann könne sie finden. Daher verlasse sie die Wohnung nicht. Gleichzeitig kämen ihr immer wieder Bilder des Vorfalls in den Kopf, ohne dass sie dies kontrollieren könne. Frau M. äußert zudem Angst vor dem Schlafengehen, weil sie häufig unter Alpträumen leide. Sie wünsche sich eine Behandlung, merke jedoch, wie schwer es ihr falle, über das vergangene Geschehen zu sprechen. Die Patientin wird am Ende der Vorstellung in der psychosomatischen Ambulanz über das Vorliegen der Diagnosen einer posttraumatischen Belastungsstörung (PTBS) und einer mittelgradigen depressiven Episode aufgeklärt. Es wird die Indikation zur Durchführung einer ambulanten, traumaspezifischen Psychotherapie gestellt. Frau M. wird schließlich an eine geeignete Traumatherapeutin vermittelt.","Bei der Patientin wurde die Indikation zur Durchführung einer traumaspezifischen Psychotherapie gestellt.  Welche Reihenfolge der Therapieabschnitte beschreibt am ehesten eine traumaspezifische Psychotherapie, die die Exposition gegenüber den traumatischen Gedächtnisinhalten enthält?","0) Exposition, Regression, Stabilisierung","1) Regression, Exposition, Stabilisierung","2) Stabilisierung, Exposition, Integration","3) Exposition, Integration, Stabilisierung","4) Regression, Stabilisierung, Exposition",2
"Ein 67-jähriger Patient stellt sich in der gastroenterologischen Sprechstunde vor. Vor 2 Wochen sei er bereits beim Hausarzt gewesen, weil er in den letzten Wochen überwiegend an Verstopfung gelitten habe. Gelegentlich seien auch Durchfälle aufgetreten. Manchmal sei auch Blut im Stuhl gewesen. Auf Nachfragen des Arztes berichtet der Patient, dass er oft müde sei und auch an Gewicht verloren habe. Aktuell gibt er Schmerzen im linken Unterbauch an. Sie äußern den Verdacht auf ein kolorektales Karzinom.",Welches Symptom bzw. welche Manifestation ist am ehesten mit der beschriebenen klinischen Symptomatik assoziiert?,0) Caput medusae,1) Psoas-Schmerz,"2) aufgetriebenes, geblähtes Abdomen",3) Murphy-Zeichen,4) Wadenkrämpfe,2
"Ein 67-jähriger Patient stellt sich in der gastroenterologischen Sprechstunde vor. Vor 2 Wochen sei er bereits beim Hausarzt gewesen, weil er in den letzten Wochen überwiegend an Verstopfung gelitten habe. Gelegentlich seien auch Durchfälle aufgetreten. Manchmal sei auch Blut im Stuhl gewesen. Auf Nachfragen des Arztes berichtet der Patient, dass er oft müde sei und auch an Gewicht verloren habe. Aktuell gibt er Schmerzen im linken Unterbauch an. Sie äußern den Verdacht auf ein kolorektales Karzinom.","In der durchgeführten Koloskopie zeigt sich ein breitbasig aufsitzender, kontaktvulnerabler Tumor im Bereich des oberen Rektumdrittels.  Daraus werden Gewebeproben entnommen, die den Nachweis eines gut differenzierten Adenokarzinoms erbringen.  Welche der folgenden Untersuchungen sollte zur genauen Bestimmung der Höhenlokalisation des Tumors veranlasst werden, um das therapeutische Vorgehen bei dem Patienten besser planen zu können?",0) Rektoskopie mit starrem Instrument,1) Computertomografie des Thorax und Abdomens,2) Endosonografie des Rektums,3) Sonografie des Abdomens,4) Kapselendoskopie,0
"Ein 67-jähriger Patient stellt sich in der gastroenterologischen Sprechstunde vor. Vor 2 Wochen sei er bereits beim Hausarzt gewesen, weil er in den letzten Wochen überwiegend an Verstopfung gelitten habe. Gelegentlich seien auch Durchfälle aufgetreten. Manchmal sei auch Blut im Stuhl gewesen. Auf Nachfragen des Arztes berichtet der Patient, dass er oft müde sei und auch an Gewicht verloren habe. Aktuell gibt er Schmerzen im linken Unterbauch an. Sie äußern den Verdacht auf ein kolorektales Karzinom.","Nach Besprechung der Kasuistik im interdisziplinären Tumorboard wird dem Patienten eine primär operative Tumorentfernung empfohlen.  Welches der folgenden Operationsverfahren ist am ehesten geeignet, den Tumor zu entfernen?",0) Hemikolektomie links,1) Transversumresektion,2) Ileozäkalresektion,3) anteriore Rektumresektion,4) abdominoperineale Rektumexstirpation,3
"Ein 67-jähriger Patient stellt sich in der gastroenterologischen Sprechstunde vor. Vor 2 Wochen sei er bereits beim Hausarzt gewesen, weil er in den letzten Wochen überwiegend an Verstopfung gelitten habe. Gelegentlich seien auch Durchfälle aufgetreten. Manchmal sei auch Blut im Stuhl gewesen. Auf Nachfragen des Arztes berichtet der Patient, dass er oft müde sei und auch an Gewicht verloren habe. Aktuell gibt er Schmerzen im linken Unterbauch an. Sie äußern den Verdacht auf ein kolorektales Karzinom.","Da der Patient unter Immunsuppression bei rheumatoider Arthritis steht, legt der Operateur im Rahmen der Operation mit Wiederherstellung der enteralen Kontinuität ein Stoma an.  Um welche Art eines Stomas handelt es sich dabei am ehesten?",0) endständiges Ileostoma,1) endständiges Transversostoma,2) doppelläufiges Ileostoma,3) doppelläufiges Deszendostoma,4) endständiges Deszendostoma,2
"In einer ärztlichen Sprechstunde stellt sich eine 57-jährige Frau wegen ungewollter Gewichtszunahme von 20 kg in 7 Jahren vor; aktuell wiege sie 95 kg bei einer Körperhöhe von 160 cm. Seit 5 Jahren seien ein Typ-2-Diabetes sowie eine arterielle Hypertonie bekannt. An Medikamenten nehme sie Metformin sowie Ramipril ein. Sie selbst habe sich die Gewichtszunahme nicht erklären können, habe daraufhin selbständig im Internet recherchiert und vermute nun einen M. Cushing als Ursache ihrer Beschwerden.","Welcher der folgenden – bei der Patientin ggf. noch zu eruierenden – klinischen Befunde lenkt den Verdacht am gezieltesten, d. h. mit der höchsten Trennschärfe, von einer alimentär bedingten Adipositas auf das tatsächliche Vorliegen eines M. Cushing?",0) subkutane Adipositas,1) gehäufte Infektanfälligkeit,2) Diabetes mellitus,3) arterielle Hypertonie,4) proximale Myopathie,4
"In einer ärztlichen Sprechstunde stellt sich eine 57-jährige Frau wegen ungewollter Gewichtszunahme von 20 kg in 7 Jahren vor; aktuell wiege sie 95 kg bei einer Körperhöhe von 160 cm. Seit 5 Jahren seien ein Typ-2-Diabetes sowie eine arterielle Hypertonie bekannt. An Medikamenten nehme sie Metformin sowie Ramipril ein. Sie selbst habe sich die Gewichtszunahme nicht erklären können, habe daraufhin selbständig im Internet recherchiert und vermute nun einen M. Cushing als Ursache ihrer Beschwerden.",Anamnestisch sowie klinisch ergibt sich bei der Patientin kein höhergradiger Anhalt für einen M. Cushing. Es soll jedoch eine Diagnostik bezüglich eines Hyperkortisolismus durchgeführt werden.  Welches der genannten Verfahren ist hierfür am wenigsten geeignet?,0) Dexamethason-Kurztest 1 mg,1) Bestimmung der Kortisolkonzentration im 24-Stunden-Urin,2) Messung der mitternächtlichen Kortisolkonzentration im Speichel,3) Bestimmung der morgendlichen Kortisol- und ACTH-Konzentration im Serum,"4) Dexamethason-Langtest (8 × 0,5 mg)",3
"In einer ärztlichen Sprechstunde stellt sich eine 57-jährige Frau wegen ungewollter Gewichtszunahme von 20 kg in 7 Jahren vor; aktuell wiege sie 95 kg bei einer Körperhöhe von 160 cm. Seit 5 Jahren seien ein Typ-2-Diabetes sowie eine arterielle Hypertonie bekannt. An Medikamenten nehme sie Metformin sowie Ramipril ein. Sie selbst habe sich die Gewichtszunahme nicht erklären können, habe daraufhin selbständig im Internet recherchiert und vermute nun einen M. Cushing als Ursache ihrer Beschwerden.",Die bei der Patientin durchgeführte Diagnostik bestätigt einen ACTH-abhängigen Hyperkortisolismus.  Welche der folgenden Untersuchungen wäre bei der weiteren Diagnostik am wenigsten hilfreich?,0) MRT der Hypophyse,1) CT der Nebennieren,2) Sinus-petrosus-Katheterisierung nach unauffälligem MRT der Hypophyse,3) CT des Thorax nach negativer Sinus-petrosus-Katheterisierung,4) DOTA-TOC-PET/CT bei Nachweis eines Rundherdes im Thorax-CT,1
"Eine 59-jährige Frau wird zum Rheumatologen überwiesen, da bei ihr seit einigen Monaten eine zunehmende Trockenheit des Mundes und der Augen besteht. Die Patientin stört vor allem die Augentrockenheit, die sie auf die Computerarbeit zurückführt. Zudem beklagt sie auch eine Belastungsdyspnoe, die sie bei stärkerer körperlicher Belastung wie z. B. Fahrradfahren empfindet, und gelegentlich auftretende Gelenkschmerzen. Bei der körperlichen Untersuchung sind keine Gelenkschwellungen nachweisbar, auch zeigen Herz und Lunge bei der klinischen Untersuchung einen altersgemäßen Befund.",Durch welche der folgenden Untersuchungen lässt sich das vermutete Sjögren-Syndrom am ehesten sichern?,0) Bestimmung von Antikörpern gegen Borrelia burgdorferi,1) Speicheldrüsenbiopsie aus der Unterlippe,2) Untersuchung auf Rheumafaktor und Anti-CCP-Antikörper,3) Schirmer-Test am Auge,4) Rhinomanometrie,1
"Eine 59-jährige Frau wird zum Rheumatologen überwiesen, da bei ihr seit einigen Monaten eine zunehmende Trockenheit des Mundes und der Augen besteht. Die Patientin stört vor allem die Augentrockenheit, die sie auf die Computerarbeit zurückführt. Zudem beklagt sie auch eine Belastungsdyspnoe, die sie bei stärkerer körperlicher Belastung wie z. B. Fahrradfahren empfindet, und gelegentlich auftretende Gelenkschmerzen. Bei der körperlichen Untersuchung sind keine Gelenkschwellungen nachweisbar, auch zeigen Herz und Lunge bei der klinischen Untersuchung einen altersgemäßen Befund.",Mit welcher der genannten Lungenmanifestationen ist bei der Patientin angesichts ihrer im Rahmen eines Sjögren-Syndroms bestehenden Belastungsdyspnoe am ehesten zu rechnen?,0) Lungenfibrose,1) Asthma bronchiale,2) Lungenkarzinom,3) chronisch-obstruktive Atemwegserkrankung,4) Atelektase,0
